RTE category;RTE subcategory;Packaging;group;min;max;m;sd;Nmax.mean;Nmax.min;Nmax.max
Fish products;Cold smoked fish;ROP;1;0;0.0686;0.0171;0.0136;7.29;7.00;8.98
Fish products;Hot smoked fish;ROP;2;0;0.0686;0.0171;0.0136;7.29;7.00;8.98
Fish products;Gravad fish;ROP;3;0;0.0686;0.0171;0.0136;7.29;7.00;8.98
Meat products;Cooked meat;ROP;4;0;0.0872;0.0218;0.0177;6.23;3.37;8.91
Meat products;Sausage;ROP;5;0;0.0872;0.0218;0.0177;6.23;3.37;8.91
Meat products;Pâté;ROP;6;0;0.0230;0.0140;0.0050;7.53;4.02;9.00
Frozen vegs;fv-RTE;ROP;7;0;0.0734;0.0270;0.0188;7.83;5.43;9.78
Fish products;Cold smoked fish;normal;8;0;0.0617;0.0120;0.0107;7.29;7.00;8.98
Fish products;Hot smoked fish;normal;9;0;0.0617;0.0120;0.0107;7.29;7.00;8.98
Fish products;Gravad fish;normal;10;0;0.0617;0.0120;0.0107;7.29;7.00;8.98
Meat products;Cooked meat;normal;11;0;0.0865;0.0257;0.0193;6.23;3.37;8.91
Meat products;Sausage;normal;12;0;0.0865;0.0257;0.0193;6.23;3.37;8.91
Meat products;Pâté;normal;13;0;0.0970;0.0257;0.0098;7.53;4.02;9.00
Cheese;Soft and semi-soft cheese;normal;14;0;0.0296;0.0103;0.0151;7.28;7.00;8.99
Frozen vegs;fv-cook;normal;15;0;0.0734;0.0270;0.0188;7.83;5.43;9.78
