Age;Gender;population;Cold smoked fish_R;Hot smoked fish_R;Gravad fish_R;Cooked meat_R;Sausage_R;Pâté_R;fv-RTE;Cold smoked fish;Hot smoked fish;Gravad fish;Cooked meat;Sausage;Pâté;Soft and semi-soft cheese;fv-cook
01-04;Female;1;2.71E+08;2.71E+08;6.03E+07;7.49E+08;1.00E+09;5.91E+08;No data;2.71E+08;2.71E+08;6.03E+07;7.49E+08;1.00E+09;5.91E+08;2.32E+08;No data
01-04;Male;2;3.06E+08;3.06E+08;6.83E+07;8.64E+08;9.82E+08;6.50E+08;No data;3.06E+08;3.06E+08;6.83E+07;8.64E+08;9.82E+08;6.50E+08;2.02E+08;No data
05-14;Female;3;2.22E+08;2.22E+08;4.95E+07;2.49E+09;2.44E+09;9.58E+08;No data;2.22E+08;2.22E+08;4.95E+07;2.49E+09;2.44E+09;9.58E+08;4.75E+08;No data
05-14;Male;4;2.25E+08;2.25E+08;5.03E+07;2.78E+09;2.84E+09;1.21E+09;No data;2.25E+08;2.25E+08;5.03E+07;2.78E+09;2.84E+09;1.21E+09;4.75E+08;No data
15-24;Female;5;3.98E+08;3.98E+08;8.87E+07;2.79E+09;1.64E+09;6.71E+08;No data;3.98E+08;3.98E+08;8.87E+07;2.79E+09;1.64E+09;6.71E+08;6.79E+08;No data
15-24;Male;6;2.63E+08;2.63E+08;5.87E+07;4.05E+09;2.71E+09;1.06E+09;No data;2.63E+08;2.63E+08;5.87E+07;4.05E+09;2.71E+09;1.06E+09;5.93E+08;No data
25-44;Female;7;8.31E+08;8.31E+08;1.85E+08;8.45E+09;4.70E+09;1.64E+09;No data;8.31E+08;8.31E+08;1.85E+08;8.45E+09;4.70E+09;1.64E+09;2.30E+09;No data
25-44;Male;8;9.33E+08;9.33E+08;2.08E+08;1.13E+10;7.66E+09;2.89E+09;No data;9.33E+08;9.33E+08;2.08E+08;1.13E+10;7.66E+09;2.89E+09;2.03E+09;No data
45-64;Female;9;1.39E+09;1.39E+09;3.10E+08;9.21E+09;5.29E+09;1.59E+09;No data;1.39E+09;1.39E+09;3.10E+08;9.21E+09;5.29E+09;1.59E+09;2.46E+09;No data
45-64;Male;10;1.57E+09;1.57E+09;3.49E+08;1.16E+10;8.03E+09;2.73E+09;No data;1.57E+09;1.57E+09;3.49E+08;1.16E+10;8.03E+09;2.73E+09;2.56E+09;No data
65-74;Female;11;1.01E+09;1.01E+09;2.24E+08;3.87E+09;2.05E+09;7.82E+08;2.65E+09;1.01E+09;1.01E+09;2.24E+08;3.87E+09;2.05E+09;7.82E+08;1.05E+09;2.65E+09
65-74;Male;12;9.94E+08;9.94E+08;2.22E+08;4.00E+09;2.40E+09;1.08E+09;2.28E+09;9.94E+08;9.94E+08;2.22E+08;4.00E+09;2.40E+09;1.08E+09;1.05E+09;2.28E+09
75+;Female;13;1.59E+09;1.59E+09;3.54E+08;3.56E+09;2.02E+09;1.23E+09;No data;1.59E+09;1.59E+09;3.54E+08;3.56E+09;2.02E+09;1.23E+09;1.33E+09;No data
75+;Male;14;1.57E+09;1.57E+09;3.51E+08;2.78E+09;1.99E+09;1.18E+09;No data;1.57E+09;1.57E+09;3.51E+08;2.78E+09;1.99E+09;1.18E+09;1.18E+09;No data
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;First ROP then Normal packaging;;
