Cretlog;1;2;3;4;5;6;7;8
-2;2.7837750488152E-06;4.02100840371392E-06;1.69308692087777E-05;1.26005524666322E-05;4.63962508116327E-06;1.97551889679862E-05;3.09308338753988E-06;0.000405926513686
-1.9;3.71170006498924E-06;5.56755009733731E-06;2.12611859509232E-05;1.7777704803579E-05;6.80478345223602E-06;2.4704122387581E-05;4.63962508116327E-06;0.000504449995845
-1.8;4.94893341988795E-06;6.18616677478667E-06;3.07686550300155E-05;2.17265573659482E-05;9.27925016203345E-06;3.17776694675623E-05;4.94893341988795E-06;0.000628248348815
-1.7;6.18616677478667E-06;7.73270846841006E-06;3.72235854325475E-05;2.66349460748567E-05;1.05164835169322E-05;3.63362051270598E-05;5.25824175861263E-06;0.000774868028629
-1.6;7.1140917909607E-06;8.66063348458409E-06;4.79277431558522E-05;3.3945645652511E-05;1.17537168718309E-05;4.77400689491866E-05;6.80478345223602E-06;0.000958170650332
-1.5;1.05164835169322E-05;1.23723335492802E-05;6.00973531514077E-05;4.22428826879372E-05;1.39188752429036E-05;5.7834543575363E-05;9.58855850075813E-06;0.001203526702487
-1.4;1.39188752429036E-05;1.4537491920353E-05;7.84105926352438E-05;4.93255639185091E-05;1.88678086624985E-05;7.1013168008465E-05;1.23723335492802E-05;0.001503707995593
-1.3;1.82491919850491E-05;1.91771170012231E-05;9.9877520523451E-05;6.09855567056082E-05;2.59413557424797E-05;8.99964950362842E-05;1.51561085978023E-05;0.001838119416532
-1.2;2.13017306616095E-05;2.35074337433686E-05;0.000126211395412;7.38106769175007E-05;3.16965800461896E-05;0.000113416723592;1.91365722905368E-05;0.002265429923725
-1.1;2.74473527254168E-05;2.90749838404129E-05;0.000155733592483;9.39823686404666E-05;3.75734384819585E-05;0.000146868605653;2.46230329662083E-05;0.00277740583078
-1;3.51800611935338E-05;3.61485309203942E-05;0.000193305480808;0.000112701851286;5.05643887083951E-05;0.000182134086518;2.95719663858032E-05;0.003384425914339
-0.9;4.47280749833125E-05;4.53872363714482E-05;0.000241358804994;0.000142302361957;6.42399956868875E-05;0.000224443424149;3.69953665151955E-05;0.004129446925181
-0.8;5.5863175177401E-05;5.58226304667146E-05;0.000293068905555;0.000174491340088;7.90401354685405E-05;0.000280526227774;4.46064408512535E-05;0.004984501880572
-0.7;6.74547132061933E-05;6.44832639510055E-05;0.000362262974726;0.00021584725315;9.78612836536144E-05;0.00035429236759;5.76723647326177E-05;0.005973229991633
-0.6;8.14980403947386E-05;8.38075104479147E-05;0.000445838106947;0.000269112000888;0.000123128428661;0.000453665247475;7.35220636625037E-05;0.007163718487344
-0.5;0.000101547488354;0.000103172301656;0.000547996037714;0.000323441731014;0.000153973083154;0.000574150713443;9.07486978102591E-05;0.008513862801166
-0.4;0.000124927172199;0.000130157100779;0.000677847633861;0.000401002660498;0.000190658861762;0.000711785833369;0.0001107205686;0.010073544439191
-0.3;0.000159469158119;0.000157954306554;0.00083029808291;0.000490542558493;0.000239305124987;0.000896015942138;0.000142276055918;0.011838127170101
-0.2;0.000200255528604;0.000205688259736;0.001016311548405;0.000591244071055;0.000303167419129;0.00110625239176;0.000181823267177;0.013813608362079
-0.1;0.000245814707137;0.000259958232743;0.001234757593318;0.000731601584547;0.000373624206616;0.001350337744594;0.000227179821966;0.016019660473579
0;0.000314962817573;0.000328924578559;0.001495877843911;0.000877062147793;0.000466643033929;0.001678631547754;0.000279114933498;0.018504369287008
0.1;0.000392864423318;0.000411445097793;0.001816739328101;0.001052170053059;0.000578932107844;0.002057544470842;0.000347360995491;0.021184548220132
0.2;0.000495378699169;0.00051766354279;0.00218169953711;0.00127560912979;0.000723111351638;0.002520058573165;0.000426250241411;0.024140209611356
0.3;0.000613034505885;0.000644333499413;0.002600417209639;0.001517165742769;0.000897967000882;0.003065289534787;0.000533797281773;0.027330729727408
0.4;0.000758240774955;0.000802449644471;0.003100332387215;0.001805202504107;0.001098693458128;0.00371093291237;0.000655502978541;0.030776805778626
0.5;0.000938563271028;0.00101299151513;0.003663274500331;0.002145248756593;0.00134284876757;0.004460783233052;0.000815616306183;0.034476665601436
0.6;0.001167471462443;0.00128214599975;0.004318993681273;0.002527634040444;0.001646323685092;0.005348942118039;0.000997317935475;0.038398124225658
0.7;0.001433750052178;0.001591001776872;0.005056164428884;0.002971369691838;0.001990113895987;0.006359663594846;0.001222306072936;0.042578157235876
0.8;0.001754196667177;0.00198926266729;0.005899265355418;0.003477351704553;0.00241125010437;0.007517564052788;0.001502507412053;0.046977143728698
0.9;0.002148400184942;0.002492338331984;0.006825353763072;0.004040995561238;0.002893585087854;0.00885051876042;0.001817775602342;0.051610478727087
1;0.002615481096623;0.003085045788223;0.007867144429896;0.004675785219255;0.003450156688966;0.010322736445846;0.002204986008964;0.056430418099559
1.1;0.003188934331538;0.003835826775216;0.009015700031572;0.005383719142975;0.004076791845216;0.011979073988375;0.002652792149254;0.061442057329367
1.2;0.003833156696842;0.004731145943433;0.010287624300273;0.006148581326264;0.004807025184373;0.013809064765674;0.003160025508505;0.066657119915033
1.3;0.004618264014222;0.005868036088486;0.01166622431771;0.007013944919899;0.005652326357633;0.015799186775198;0.003753965559255;0.072022758917863
1.4;0.005520154647367;0.007182085554851;0.013189011196233;0.007935578540335;0.006568795916294;0.017957069339179;0.004433849269817;0.077547219541563
1.5;0.006555711231108;0.008777208283549;0.014806593159097;0.008937512328655;0.007613835430393;0.020281629358149;0.005204442837982;0.083189256590114
